          epoch;           loss;             PA;            MPA;          FWIoU;           Miou;
            139;        0.04048;        0.95725;        0.94646;        0.91908;        0.84802;
            140;        0.04047;        0.95719;        0.94705;        0.91929;        0.84819;
            141;       0.040463;        0.95774;        0.94922;        0.92039;        0.84927;
            142;       0.040403;        0.95699;        0.94746;        0.91716;        0.84842;
            143;       0.040361;        0.95688;        0.94889;        0.91706;        0.84934;
            144;       0.040392;        0.95672;        0.94825;        0.91576;         0.8484;
            145;       0.040291;         0.9571;        0.94886;        0.91781;        0.84915;
            146;       0.040194;         0.9568;        0.94843;        0.91621;        0.84845;
            147;       0.040201;        0.95709;        0.94748;        0.91846;        0.84802;
            148;       0.040705;        0.95747;        0.94849;        0.91953;        0.84955;
            149;       0.040348;        0.95724;        0.94763;        0.91843;         0.8486;
            150;       0.039977;        0.95687;        0.94488;        0.91701;        0.84673;
